Time (seconds),x,y,z
14.31,-152,-16,-984
14.36,-516,116,-872
14.42,-512,124,-844
14.48,-488,152,-880
14.53,-456,196,-840
14.59,-460,144,-916
14.64,-448,128,-968
14.70,-472,136,-896
14.76,-456,204,-940
14.81,-584,88,-828
14.87,-524,144,-796
14.92,-436,24,-860
15.00,-488,168,-844
15.06,-724,0,-836
15.11,-572,108,-912
15.17,-580,68,-892
15.22,-628,88,-812
15.28,-728,72,-676
15.34,-728,64,-448
15.39,-812,44,-636
15.45,-828,12,-552
15.50,-884,32,-432
15.56,-896,24,-452
15.62,-896,16,-416
15.67,-900,-32,-536
15.73,-912,56,-424
15.80,-896,-20,-304
15.86,-960,40,-228
15.92,-976,32,-152
15.97,-968,0,-124
16.03,-980,-20,-300
16.08,-948,24,-100
16.14,-904,-36,112
16.20,-1020,-20,44
16.25,-600,-328,300
16.31,-1028,16,268
16.36,-976,24,136
16.42,-1004,-16,324
16.48,-888,-84,464
16.55,-856,-92,548
16.61,-796,-72,460
16.66,-724,-164,620
16.72,-592,-148,764
16.78,-556,-140,764
16.83,-560,-100,788
16.89,-460,-96,864
16.94,-400,-92,908
17.00,-404,-16,1012
17.06,-308,-44,956
17.11,-304,-16,1020
17.17,-288,-36,944
17.22,-240,-28,936
17.30,-232,12,1000
17.36,-208,16,956
17.41,-208,16,944
17.47,-172,20,964
17.52,-108,-4,1020
17.58,-108,-40,1012
17.64,-144,-8,984
17.69,-116,-12,996
17.75,-96,-28,1060
17.80,-108,0,1004
17.86,-276,-112,1096
17.92,-276,-180,744
17.97,-648,-8,1056
18.03,-764,112,668
18.10,-692,-40,436
18.16,-984,56,288
18.22,-1044,-12,508
18.27,-1048,240,96
18.33,-804,-16,-36
18.38,-896,-60,88
18.44,-904,-52,-100
18.50,-740,-388,-64
18.55,-848,-164,-440
18.61,-860,-108,-748
18.66,-876,-128,-472
18.72,-648,-144,-680
18.78,-712,-92,-768
18.85,-1292,272,-368
18.91,-396,-88,-1040
18.96,-380,-12,-956
19.02,-240,-20,-1028
19.08,-1024,244,-2040
19.13,-132,0,-912
19.19,-88,36,-1112
19.24,16,32,-980
19.30,36,32,-1036
19.36,20,60,-1048
19.41,160,52,-996
19.47,88,80,-1044
19.52,104,76,-1024
19.60,120,164,-1004
19.66,96,452,-1176
19.71,104,240,-956
19.77,4,424,-884
19.82,108,408,-1044
19.88,-116,676,-960
19.94,40,668,-764
19.99,52,784,-804
20.05,-12,884,-576
20.10,40,908,-576
20.16,56,888,-452
20.22,84,924,-356
20.27,196,948,-704
20.33,180,928,-636
20.40,108,936,252
20.46,140,984,88
20.52,108,1088,-92
20.57,92,1052,84
20.63,264,804,232
20.68,92,1048,68
20.74,56,1048,108
20.80,52,1048,48
20.85,108,1020,72
20.91,-20,1144,-84
20.96,52,1056,16
21.02,24,1096,12
21.08,56,1056,-96
21.13,-12,1224,-12
21.21,0,1048,-352
21.26,104,940,-392
21.32,-40,820,-608
21.38,-28,732,-824
21.43,-52,636,-912
21.49,28,484,-856
21.54,-20,400,-1008
21.60,80,172,-932
21.66,24,168,-1004
21.71,20,60,-976
21.77,60,-4,-980
21.82,64,-160,-1052
21.88,72,-200,-984
21.94,104,-252,-1008
22.01,112,-240,-932
22.07,64,-204,-1040
22.12,60,-188,-1036
22.18,60,-176,-1012
22.24,92,-192,-1028
22.29,48,-96,-1036
22.35,4,-80,-1052
22.40,64,-188,-992
22.46,72,-224,-980
22.52,80,-224,-1012
22.57,4,-124,-984
22.63,4,-192,-1072
22.68,44,-212,-956
22.76,20,-180,-1032
22.82,24,-136,-1020
22.87,48,-132,-1020
22.93,24,-92,-980
22.98,4,-120,-1012
23.04,0,-124,-1028
23.10,100,-204,-956
23.15,-8,-108,-1068
23.21,12,-124,-1052
23.26,-48,-100,-980
23.32,44,-160,-1128
23.38,-4,-164,-968
23.43,44,-268,-988
23.51,0,-196,-868
23.56,68,-192,-1024
23.62,128,-128,-992
23.68,132,-48,-996
